IDSURVEY CID z MU MUERR
50 2007gi 0.00463 31.82320 0.12710
5 2005W 0.00838 32.87400 0.12614
64 2005eq 0.02810 35.63370 0.14230
50 1991U 0.03188 35.51440 0.14280
62 1999ac 0.01032 33.07530 0.21590
1 14871 0.11861 38.80260 0.12760
1 15222 0.19817 39.82850 0.14300
10 1289288 0.28970 40.81200 0.17160
15 100358 0.36623 41.24260 0.17330
1 15161 0.24865 40.44050 0.14480
10 1297026 0.25850 40.60140 0.13310
150 ASASSN-17at 0.02736 35.35160 0.14280
51 2010ao 0.02384 35.02390 0.15260
4 05D3jb 0.74573 43.34910 0.14430
59 2012fr 0.00567 31.28440 0.15308
1 13038 0.10287 38.51160 0.12880
150 AT2017oz 0.05601 36.91310 0.13650
10 1337838 0.31190 41.05220 0.12540
15 020090 0.41004 41.83560 0.21790
1 19023 0.24191 40.35000 0.16250
65 2008C 0.01740 34.28450 0.16470
50 1992ag 0.02605 34.75580 0.16690
106 Primo 1.54901 45.43210 0.19400
4 03D4gf 0.57830 42.57980 0.14680
59 2013fn 0.02645 35.43970 0.20890
65 2008at 0.03504 35.79570 0.15550
63 2001eh 0.03735 36.05160 0.13540
150 PS16n 0.05317 36.89610 0.13600
59 2013hn 0.01592 34.22060 0.20540
1 13641 0.20865 40.04740 0.13820
150 ASASSN-15kx 0.01703 34.70100 0.16600
15 490037 0.42348 41.77390 0.15390
15 040201 0.27995 40.66090 0.12800
1 20625 0.10707 38.56460 0.12840
10 1301933 0.32990 41.25050 0.12110
65 2007le 0.00650 32.21870 0.30960
150 SN2016esh 0.04631 36.25690 0.14230
1 15583 0.17722 39.69070 0.13300
15 520071 0.41161 41.96900 0.13740
1 19992 0.22466 40.51080 0.16260
15 330083 0.22386 40.10870 0.13640
61 1996X 0.00625 32.03790 0.31610
1 12898 0.08282 37.87180 0.12590
4 04D4im 0.74911 43.16490 0.16540
65 2008hv 0.01387 33.85880 0.18140
15 420414 0.29256 40.80550 0.16840
5 2005el 0.01496 34.02680 0.17500
50 2008fv2_rev 0.01090 33.22240 0.21570
5 2005al 0.01461 34.06830 0.17070
10 1306991 0.42170 41.65900 0.20030
150 SN2016grz 0.08704 37.96830 0.12960
15 000011 0.38153 41.84390 0.13980
5 2008ar 0.02913 35.33450 0.13650
4 05D4fo 0.37153 41.53830 0.12590
64 2006D 0.00926 32.98530 0.12779
15 510251 0.24020 40.47980 0.13540
150 Gaia16aki 0.07393 37.66360 0.13930
1 8719 0.11650 38.64560 0.12820
4 04D3lu 0.82276 43.67150 0.16150
4 04D4id 0.76709 43.73540 0.18170
1 12843 0.16606 39.26910 0.13910
4 05D1kl 0.55882 42.99690 0.15070
1 12972 0.25669 40.61670 0.17160
15 050005 0.52858 42.22030 0.15090
4 05D2dw 0.41857 41.73820 0.12870
65 2009Y 0.00994 32.93170 0.12904
15 320258 0.34098 41.21010 0.15510
64 2007af 0.00633 32.04640 0.12861
150 ASASSN-15lg 0.02026 34.74250 0.15640
1 5533 0.21898 40.20010 0.14730
100 Aphrodite 1.29911 44.87390 0.21020
10 1337228 0.57880 42.81630 0.15390
