SNID hostmass hostsfr hostssfr u-g
1998dh 10.751 -0.018 -10.776 1.499
2002cr 10.228 -0.128 -9.783 0.943
2012cg 9.671 -1.074 -10.745 1.074
2019np 10.351 -6.704 -16.445 1.677
2005cf 9.002 -0.114 -9.116 0.975
2006D 9.441 0.838 -8.530 1.012
2002fk 10.420 0.432 -9.492 0.911
ASASSN-15so 11.299 -0.159 -10.905 1.367
2009ig 10.204 -14.905 -25.108 1.631
2011by 10.316 -1.497 -11.323 1.272
1990N 10.958 1.109 -9.248 1.159
2001el 9.252 0.122 -9.130 1.527
1997do 9.984 -0.497 -9.909 1.153
2007af 9.433 -0.472 -9.905 0.654
2011fe 10.274 1.127 -8.580 1.091
1997bp 10.241 0.673 -8.990 1.065
1997bq 10.778 1.339 -9.435 1.366
2017cbv 10.028 -0.361 -10.083 1.063
2003du 9.402 -1.078 -9.909 0.922
1999cp 10.228 -0.117 -9.783 0.943
1998aq 9.596 0.456 -9.084 1.020
2013dy 9.276 0.287 -8.990 1.565
2013aa 10.116 -0.285 -10.083 1.063
2005W 10.820 -0.101 -10.921 1.541
2013cs 8.913 0.396 -7.915 0.750
2007sr 9.849 1.472 -8.327 0.927
2005df 9.552 0.101 -9.451 1.338
2008fv 10.753 1.336 -9.435 1.366
2017erp 9.791 1.041 -8.681 1.072
2002dp 9.839 1.735 -8.104 0.627
2009Y 10.951 0.298 -10.637 1.511
1994ae 9.311 0.381 -9.246 0.799
1995al 9.666 0.719 -8.947 1.144
2018gv 10.418 -0.496 -10.326 1.249
1981B 10.850 0.767 -10.083 0.892
2012fr 10.399 -0.801 -10.581 1.053
2001bg 10.712 -1.143 -11.323 1.223
2015F 10.643 0.411 -10.232 0.541
2006bh 10.232 0.709 -9.523 1.226
2012ht 8.391 0.910 -7.481 0.486
