IDSURVEY CID z MU MUERR
10 1310338 0.43890 41.59600 0.15000
62 1997E 0.01376 33.85840 0.19760
1 5391 0.30030 40.90770 0.19250
15 000196 0.35059 41.35470 0.09370
63 2002he 0.02517 35.22290 0.12000
50 1992bs 0.06372 37.45950 0.14180
10 1309492 0.33350 41.13070 0.09250
15 000137 0.11901 38.69240 0.14590
15 320258 0.34098 41.18260 0.13230
10 1345582 0.45885 42.09030 0.21300
5 2008hv 0.01375 33.87640 0.15490
15 380378 0.27141 40.69390 0.08390
150 ASASSN-16dw 0.03437 35.90190 0.14140
150 AT2016cvw 0.03787 36.11790 0.13950
15 330023 0.18078 39.82900 0.11940
62 1998dh 0.00817 32.71810 0.25760
15 310161 0.25260 40.58360 0.11520
150 ASASSN-16hr 0.03083 35.55550 0.19050
1 15467 0.20856 39.96600 0.10590
150 ASASSN-16bc 0.03298 35.73270 0.10580
56 2007on 0.00502 31.87540 0.38230
5 2009cz 0.02348 34.96430 0.11400
10 1299785 0.38129 41.58580 0.13860
4 04D3co 0.62070 42.80260 0.17970
15 110567 0.21440 40.13920 0.20690
150 ATLAS17axb 0.03143 35.65950 0.12460
10 1317277 0.23721 40.35360 0.13220
1 5957 0.27935 40.78830 0.11930
100 Elvis 0.83981 43.48370 0.13180
63 2003ic 0.05089 36.49840 0.13480
10 1306537 0.47946 42.13720 0.13350
1 15459 0.12560 39.22750 0.21240
150 ASASSN-16aj 0.02953 35.58750 0.11750
1 12843 0.16606 39.27050 0.13830
63 2003kc 0.03479 35.96780 0.13830
57 1999ac 0.01017 33.02920 0.24870
1 14979 0.17666 39.60890 0.09250
5 2007as 0.01802 34.34650 0.15010
1 744 0.12710 38.75430 0.20000
10 1317666 0.14134 39.27030 0.15280
1 2017 0.26172 40.76960 0.18370
1 13757 0.28754 40.79280 0.14580
4 05D2ec 0.64185 42.95750 0.17790
50 1992ae 0.07440 37.54000 0.15510
4 06D3fp 0.26860 40.57200 0.16590
150 AT2016bln 0.02429 35.20060 0.12820
64 2005kc 0.01442 34.12280 0.21670
1 6924 0.32652 40.95920 0.15990
15 390264 0.29221 40.56570 0.19100
10 1308326 0.32632 41.16980 0.10120
1 17801 0.20523 40.24980 0.16210
1 15897 0.17374 39.62880 0.12890
4 06D2ck 0.55375 42.60200 0.12730
50 1992bl 0.04210 36.32200 0.13900
10 1313594 0.28844 40.86960 0.09340
150 PS17akj 0.04777 36.67400 0.12720
5 2005al 0.01591 34.10310 0.13880
150 AT2016ews 0.04631 36.65900 0.10240
66 2010A 0.02067 34.60770 0.21750
1 12779 0.07906 37.89350 0.16900
63 2003du 0.00747 32.85870 0.26020
4 06D3gh 0.72074 43.15410 0.21050
5 2008C 0.01737 34.40350 0.17590
1 18855 0.12732 38.87180 0.14170
15 300179 0.17911 39.88410 0.13830
10 1263369 0.31262 41.07340 0.10140
1 20088 0.24329 40.33790 0.09980
56 2011dn 0.02513 34.54420 0.22190
62 2000dk 0.01730 34.25510 0.13950
4 05D2ci 0.63183 42.40780 0.22460
1 16276 0.19193 39.87740 0.14800
62 1999cc 0.03072 35.69850 0.10640
65 2007nq 0.04352 36.40350 0.10490
15 440643 0.18952 39.88600 0.11180
150 SN2017ckx 0.02858 35.77820 0.17080
15 490037 0.42348 41.72410 0.12980
4 05D1hm 0.58582 42.77410 0.25220
1 7475 0.32057 41.01210 0.13610
57 2005el 0.01496 34.06840 0.15220
56 2012hr 0.00814 32.81770 0.25620
1 18463 0.26700 40.63000 0.15020
65 2008fr 0.03828 36.22770 0.11040
57 2007co 0.02731 35.43140 0.15950
57 2003du 0.00747 32.91300 0.25790
4 06D3df 0.44263 42.01090 0.09720
15 370308 0.20087 39.89240 0.18580
150 ASASSN-16bq 0.02534 35.30890 0.11700
15 350374 0.50098 42.22540 0.20090
1 8921 0.14423 39.10890 0.14460
1 2102 0.09414 38.16470 0.11090
57 2006ej 0.02023 34.70870 0.12930
4 05D1eo 0.73568 43.29460 0.17440
1 13641 0.20865 40.03350 0.13820
1 13305 0.21350 40.10560 0.12060
4 05D1cb 0.63077 42.76730 0.13140
15 091869 0.28854 40.86970 0.11350
50 2008fv2 0.01091 33.57370 0.21560
63 2003U 0.02821 35.37690 0.12160
15 000038 0.15050 39.22800 0.11900
15 460064 0.24151 40.24530 0.12800
51 2007kk 0.04310 36.31510 0.11070
10 1306390 0.40920 41.86560 0.24290
1 18940 0.21114 40.04930 0.11750
1 17605 0.14542 39.24220 0.21990
15 450175 0.51941 42.36280 0.24610
1 19632 0.31387 41.08530 0.15590
1 12883 0.30576 40.63190 0.22250
4 04D1si 0.70070 43.01660 0.15330
56 2010cr 0.02291 35.37620 0.20670
4 05D3ha 0.80575 43.28390 0.19020
10 1322229 0.52620 42.29750 0.15320
10 1291957 0.37138 41.46320 0.11190
4 05D1em 0.86456 43.63310 0.15790
57 2002G 0.03731 35.91600 0.17690
4 05D1hk 0.26209 40.47170 0.12620
4 03D1fq 0.79863 43.54990 0.18630
4 03D4dh 0.62525 42.76740 0.14890
15 100101 0.42976 42.04290 0.13680
65 2008Y 0.07056 37.39920 0.14620
150 PS16cvc 0.02915 35.79820 0.12430
18 2018enc 0.02354 35.08700 0.14960
65 2007hj 0.01325 34.02560 0.20350
64 2006D 0.00925 33.02810 0.22830
51 2017cfd 0.01304 33.67920 0.18960
150 PS15cze 0.04035 36.62110 0.14990
15 510597 0.46104 42.13120 0.15050
15 160066 0.53111 42.64220 0.20680
1 17552 0.25199 40.54310 0.15130
100 Eagle 1.01988 44.39690 0.15610
63 2003cq 0.03383 35.93810 0.17270
56 2013ex 0.01133 33.59420 0.22080
10 1306980 0.54881 42.28820 0.26150
10 1302648 0.23164 40.22230 0.14990
65 2009gf 0.01855 34.61900 0.17010
1 17568 0.13696 39.49680 0.26390
56 2010kg 0.01664 34.09350 0.22210
57 2007ci 0.02319 34.75890 0.11930
1 2031 0.15195 39.14080 0.10590
15 550096 0.22449 40.06870 0.17000
4 05D1ke 0.68872 42.92180 0.14970
64 2005iq 0.03341 35.98440 0.10300
101 SCP05D0 1.01242 44.22560 0.24800
57 2002dp 0.01061 33.39920 0.19690
1 7847 0.21174 40.03000 0.16480
64 2007O 0.03846 35.98070 0.10110
15 580235 0.33147 41.15190 0.13270
61 1994T 0.03583 36.02400 0.13490
62 1998es 0.00966 32.91360 0.24330
64 2007qe 0.02357 35.05460 0.17780
1 18241 0.09404 38.30220 0.11630
10 1298281 0.23520 40.28980 0.15590
4 05D2cb 0.42859 41.99900 0.25850
65 2008gb 0.03796 36.16710 0.14680
10 1335868 0.61941 42.81840 0.19310
4 04D3lu 0.82276 43.56280 0.15440
15 160198 0.34910 41.37210 0.11070
1 18602 0.13713 39.04660 0.18780
10 1292332 0.27276 40.66060 0.11860
18 2019np 0.00648 32.57080 0.29090
15 590031 0.37852 41.55030 0.12410
1 3452 0.22978 40.21550 0.13460
64 2006qo 0.02887 35.59050 0.17420
15 550218 0.38744 41.67820 0.18930
15 040137 0.44764 41.96960 0.15590
64 2007bc 0.02131 34.86070 0.12760
57 2008ar 0.02849 35.54550 0.11940
1 15648 0.17392 39.65970 0.17610
61 1996bv 0.01699 34.16690 0.19790
56 ASASSN-14fa 0.02348 34.99730 0.18540
101 SCP06G4 1.35136 44.66290 0.21490
56 2008Q 0.00746 32.40490 0.27750
63 2001ep 0.01272 33.61270 0.22150
5 2008O 0.03819 36.30970 0.17210
15 500100 0.31088 41.17140 0.09780
1 3256 0.10711 38.51780 0.14810
4 05D3km 0.96080 44.12260 0.16090
150 ASASSN-16br 0.02956 35.58690 0.12920
63 2002fk 0.00719 32.51980 0.27070
10 1337655 0.84857 43.52230 0.14450
65 2008Z 0.02118 35.32470 0.20260
62 1997Y 0.01708 34.31030 0.14510
4 06D3do 0.72674 43.18860 0.16970
15 560121 0.36499 41.57270 0.15630
57 1999dg 0.02197 34.97370 0.16610
4 04D3kr 0.33762 41.25980 0.11850
57 2008L 0.01755 34.42500 0.14440
15 370356 0.02510 35.36360 0.13800
64 2006sr 0.02388 35.09920 0.12100
4 03D1ew 0.86656 43.58570 0.21390
4 05D2nn 0.87211 43.61080 0.19400
15 030006 0.50285 42.19030 0.22280
1 15369 0.23062 39.90700 0.12620
1 13045 0.17931 39.62360 0.16450
10 1305626 0.32581 41.17350 0.09200
150 ASASSN-16la 0.01424 33.91820 0.17110
63 2002kf 0.02001 34.77770 0.13860
15 090201 0.50825 42.13100 0.13120
1 14024 0.14490 39.20670 0.13910
10 1332413 0.60878 42.73470 0.14790
15 480464 0.22132 40.18540 0.09210
5 2007af 0.00625 32.20580 0.30220
15 470015 0.33749 41.28900 0.15340
4 05D2ac 0.48065 42.08440 0.09640
15 440236 0.42895 41.76870 0.11910
1 14846 0.22349 40.24460 0.12040
64 2007sr 0.00571 31.74380 0.34050
150 ASASSN-16oz 0.03192 35.57210 0.12990
10 1253101 0.45328 41.92720 0.13840
15 190260 0.14359 39.21890 0.08910
150 ASASSN-15jl 0.03512 36.00510 0.11530
10 1332059 0.57891 42.65770 0.15700
1 22075 0.12920 38.85900 0.10620
56 2006dm 0.02228 34.93150 0.17370
1 15456 0.38055 41.20790 0.17730
63 2001da 0.01725 34.30010 0.21190
150 PS15bdr 0.07116 37.47420 0.13310
1 16072 0.28446 40.75650 0.15370
10 1296273 0.39706 41.37620 0.10740
1 13835 0.24617 40.44090 0.11030
5 2007jh 0.04167 36.65150 0.17250
15 350233 0.16924 39.63670 0.12640
15 420258 0.27456 40.86210 0.18570
64 2007co 0.02731 35.30800 0.18210
4 04D3hn 0.55267 42.29120 0.17220
10 1273127 0.18929 40.06820 0.15300
56 2007co 0.02731 35.20290 0.23400
10 1322979 0.52937 42.41410 0.09380
10 1297465 0.27782 41.05030 0.11430
4 05D2ct 0.73596 43.28190 0.25970
56 2011fe 0.00122 29.16800 1.48980
64 2006cf 0.04268 36.40920 0.10370
50 1993B 0.07023 37.39570 0.17970
15 440185 0.34949 41.27440 0.10260
10 1338675 0.33056 41.30190 0.14440
65 2009al 0.02342 35.09580 0.15060
10 1255502 0.14834 39.14430 0.09660
10 1257366 0.21134 40.27730 0.17190
50 1992bc 0.02006 34.62900 0.13080
10 1304678 0.21881 40.26100 0.16960
10 1328105 0.44149 41.80660 0.12530
4 04D4dw 1.02881 43.94730 0.18490
150 PS16ayd 0.05469 36.97330 0.09330
1 18787 0.18929 40.22900 0.14590
10 1259412 0.30486 41.02600 0.09360
4 05D3kp 0.85079 43.60970 0.13080
15 160099 0.10165 38.42060 0.11520
4 04D1pu 0.63777 42.64060 0.28440
1 15443 0.18136 39.56960 0.09230
15 440008 0.14652 39.28210 0.12870
62 1998V 0.01752 34.22590 0.16070
10 1329615 0.40368 41.74040 0.14440
5 2009ds 0.02019 34.60720 0.15600
15 470244 0.36091 41.55180 0.15210
1 6304 0.18995 39.81150 0.14640
18 ASASSN-16es 0.03047 35.64560 0.17200
64 2006cp 0.02239 34.87300 0.18740
15 000006 0.23041 40.43120 0.17800
15 050301 0.34717 41.23480 0.16230
5 2008hu 0.05058 36.79210 0.09180
15 530037 0.26859 40.68990 0.09830
63 2003iv 0.03491 36.00880 0.11260
56 2008ec 0.01568 34.23520 0.22730
15 490008 0.12086 38.75700 0.09730
1 16032 0.20331 40.00610 0.12300
57 2007hj 0.01325 34.06300 0.20320
56 2010gp 0.02405 34.56810 0.26330
15 320099 0.37997 41.53620 0.11150
1 20084 0.13851 39.08180 0.23020
10 1306991 0.42195 41.65650 0.18660
1 13506 0.24354 40.57200 0.19400
61 1995al 0.00697 32.39160 0.28580
57 2003gn 0.03375 36.12440 0.16280
64 2007bd 0.03120 35.59350 0.10510
1 20245 0.30052 40.65900 0.18260
15 350047 0.23378 40.54300 0.13140
50 2003du 0.00747 32.88270 0.26140
1 17332 0.18217 39.66850 0.14500
57 SNF20080909-030 0.03110 35.66430 0.12660
5 2007nq 0.04352 36.31870 0.09320
1 18612 0.11388 38.49100 0.13380
150 SN2017mf 0.02598 35.43880 0.11910
51 2011fs 0.01871 34.63430 0.13310
15 330128 0.32104 41.07670 0.10740
10 1295921 0.52400 42.30210 0.25220
1 15217 0.38015 41.53190 0.18400
5 2007ba 0.03402 35.92120 0.17530
15 050580 0.45068 41.75090 0.10960
1 14451 0.17797 39.56960 0.09550
64 2006ej 0.02023 34.76390 0.12850
150 ASASSN-15mg 0.04408 36.44850 0.12340
150 PS15coh 0.01839 34.52740 0.15870
15 340229 0.14123 39.16440 0.14490
15 000014 0.13614 39.09790 0.12590
1 15234 0.13535 39.16180 0.22010
1 1580 0.18335 39.61080 0.10530
1 17366 0.13822 38.98260 0.11560
15 380199 0.46064 42.13060 0.12210
5 2007hj 0.01325 34.07560 0.19980
106 geta 1.69706 45.41680 0.26280
1 19702 0.26832 40.75690 0.20330
15 130755 0.29298 40.95410 0.13870
15 490521 0.34147 41.31530 0.19060
10 1295256 0.44245 41.97760 0.11350
51 2012bh 0.02510 35.31260 0.16020
15 590194 0.09039 38.04220 0.14800
1 16116 0.15526 39.38000 0.10900
4 06D2bk 0.50067 42.36800 0.17520
1 16073 0.15357 39.46810 0.12460
1 15584 0.28344 40.72390 0.13570
10 1285160 0.74930 43.30200 0.11060
15 120225 0.10713 38.91130 0.32090
150 AT2016cyt 0.03059 35.46830 0.10780
4 04D3do 0.61071 42.77710 0.10570
56 2013dy 0.00432 31.66020 0.46360
1 13736 0.14898 39.25160 0.12600
56 2009gf 0.01855 34.68380 0.19840
56 2012V 0.01147 33.84920 0.21490
10 1335694 0.25923 40.54610 0.09880
1 13254 0.18004 40.07570 0.18910
150 ASASSN-15oh 0.01587 34.48410 0.18760
65 2007su 0.02740 35.40980 0.23380
10 1334302 0.45458 41.91170 0.14250
1 13370 0.19801 40.39200 0.19170
4 05D2ie 0.34949 41.48850 0.11570
1 19658 0.19878 39.98850 0.12870
63 2002fk_v2 0.00719 32.55390 0.27000
63 2002jy 0.02057 35.10270 0.12580
1 18415 0.12958 38.93880 0.10040
62 1998ef 0.01728 34.00260 0.13820
150 AT2017cfd 0.01304 33.70870 0.19340
1 15129 0.19621 39.86520 0.11250
1 4241 0.33063 41.21930 0.17380
10 1309288 0.26791 40.63320 0.13860
51 2013gq 0.01445 33.85910 0.14760
150 iPTF16auf 0.01543 34.21230 0.20220
150 PSNJ2352371 0.02596 35.52350 0.13380
15 370066 0.09089 38.15360 0.11400
10 1317454 0.56879 42.35650 0.17580
63 2001bf 0.01581 33.99520 0.14950
57 2003W 0.02082 34.77780 0.15470
10 1307830 0.35946 41.54600 0.09920
66 2009kq 0.01259 33.63350 0.18110
10 1347120 0.17952 39.69940 0.15330
18 ASASSN-16lc 0.02096 34.80000 0.14720
150 SN2017jl 0.01525 33.87920 0.18250
4 04D1sk 0.66213 43.05880 0.19600
1 19818 0.30406 40.77460 0.13410
4 06D3el 0.51968 42.40740 0.12140
150 PS17yt 0.07073 37.59930 0.11920
4 05D4af 0.49739 42.23780 0.15810
50 1990af 0.04934 36.70850 0.13890
1 18091 0.36987 41.25480 0.18100
15 420417 0.36147 41.22680 0.19820
15 390259 0.12231 38.73360 0.15810
18 ASASSN-16bn 0.02241 35.12220 0.14310
150 PS15atx 0.07252 37.72270 0.19920
100 Strolger 1.02789 44.66500 0.23650
1 16232 0.37436 41.51260 0.16620
1 5395 0.11653 38.72580 0.12990
150 ASASSN-15pm 0.04837 36.49210 0.10480
50 2005df 0.00407 31.50350 0.45450
51 2010hs 0.07560 37.90000 0.14080
57 2007sr 0.00571 31.78380 0.33580
1 18325 0.25736 40.58150 0.14050
150 PS15cwx 0.03086 35.50650 0.12370
4 06D3bz 0.72774 43.11740 0.17890
4 04D1ks 0.79662 43.03700 0.22790
10 1291080 0.44391 41.93040 0.18610
1 3317 0.16008 39.32480 0.11930
4 06D4bo 0.55033 42.48380 0.14780
5 2007bc 0.02131 34.84300 0.11970
1 19969 0.17444 39.58160 0.11630
1 17791 0.27759 41.21360 0.21420
150 ASASSN-17aj 0.02255 34.85070 0.16010
1 13425 0.21127 40.22880 0.22190
1 16350 0.23693 40.31190 0.15080
10 1291794 0.39510 41.59460 0.14240
64 2006ot 0.05202 36.65930 0.19940
100 Ombo 0.97423 44.22970 0.12370
64 2005M 0.02598 34.93940 0.23130
1 16099 0.19595 39.89050 0.12410
10 1339450 0.55046 42.52870 0.25970
10 1295027 0.42568 41.82730 0.13310
